age_years,sex,year,cultural_background,adjusted_population
13,Male,2005,Other,10066.59678
13,Female,2005,Other,9499.351374
14,Male,2005,Other,10154.746
14,Female,2005,Other,9625.881807
15,Male,2005,Other,10261.89935
15,Female,2005,Other,9468.835649
16,Male,2005,Other,10227.85263
16,Female,2005,Other,9695.834769
17,Male,2005,Other,10462.28099
17,Female,2005,Other,9415.486141
0,Male,2006,Other,8742.162155
0,Female,2006,Other,8177.482168
1,Male,2006,Other,8561.406783
1,Female,2006,Other,8146.496136
2,Male,2006,Other,8798.562092
2,Female,2006,Other,8150.714382
3,Male,2006,Other,8623.059869
3,Female,2006,Other,8293.026224
4,Male,2006,Other,8784.543205
4,Female,2006,Other,8379.706064
5,Male,2006,Other,8817.160044
5,Female,2006,Other,8674.975881
6,Male,2006,Other,9348.742897
6,Female,2006,Other,8669.223743
7,Male,2006,Other,9363.76344
7,Female,2006,Other,8999.197663
8,Male,2006,Other,9333.181956
8,Female,2006,Other,8939.826466
9,Male,2006,Other,9520.19013
9,Female,2006,Other,9100.73788
10,Male,2006,Other,9858.76057
10,Female,2006,Other,9263.179868
11,Male,2006,Other,10100.67444
11,Female,2006,Other,9389.595999
12,Male,2006,Other,9726.919637
12,Female,2006,Other,9417.622291
13,Male,2006,Other,10066.59678
13,Female,2006,Other,9499.351374
14,Male,2006,Other,10154.746
14,Female,2006,Other,9625.881807
15,Male,2006,Other,10261.89935
15,Female,2006,Other,9468.835649
16,Male,2006,Other,10227.85263
16,Female,2006,Other,9695.834769
17,Male,2006,Other,10462.28099
17,Female,2006,Other,9415.486141
0,Male,2007,Other,8742.162155
0,Female,2007,Other,8177.482168
1,Male,2007,Other,8561.406783
1,Female,2007,Other,8146.496136
2,Male,2007,Other,8798.562092
2,Female,2007,Other,8150.714382
3,Male,2007,Other,8623.059869
3,Female,2007,Other,8293.026224
4,Male,2007,Other,8784.543205
4,Female,2007,Other,8379.706064
5,Male,2007,Other,8817.160044
5,Female,2007,Other,8674.975881
6,Male,2007,Other,9348.742897
6,Female,2007,Other,8669.223743
7,Male,2007,Other,9363.76344
7,Female,2007,Other,8999.197663
8,Male,2007,Other,9333.181956
8,Female,2007,Other,8939.826466
9,Male,2007,Other,9520.19013
9,Female,2007,Other,9100.73788
10,Male,2007,Other,9858.76057
10,Female,2007,Other,9263.179868
11,Male,2007,Other,10100.67444
11,Female,2007,Other,9389.595999
12,Male,2007,Other,9726.919637
12,Female,2007,Other,9417.622291
13,Male,2007,Other,10066.59678
13,Female,2007,Other,9499.351374
14,Male,2007,Other,10154.746
14,Female,2007,Other,9625.881807
15,Male,2007,Other,10261.89935
15,Female,2007,Other,9468.835649
16,Male,2007,Other,10227.85263
16,Female,2007,Other,9695.834769
17,Male,2007,Other,10462.28099
17,Female,2007,Other,9415.486141
0,Male,2008,Other,8742.162155
0,Female,2008,Other,8177.482168
1,Male,2008,Other,8561.406783
1,Female,2008,Other,8146.496136
2,Male,2008,Other,8798.562092
2,Female,2008,Other,8150.714382
3,Male,2008,Other,8623.059869
3,Female,2008,Other,8293.026224
4,Male,2008,Other,8784.543205
4,Female,2008,Other,8379.706064
5,Male,2008,Other,8817.160044
5,Female,2008,Other,8674.975881
6,Male,2008,Other,9348.742897
6,Female,2008,Other,8669.223743
7,Male,2008,Other,9363.76344
7,Female,2008,Other,8999.197663
8,Male,2008,Other,9333.181956
8,Female,2008,Other,8939.826466
9,Male,2008,Other,9520.19013
9,Female,2008,Other,9100.73788
10,Male,2008,Other,9858.76057
10,Female,2008,Other,9263.179868
11,Male,2008,Other,10100.67444
11,Female,2008,Other,9389.595999
12,Male,2008,Other,9726.919637
12,Female,2008,Other,9417.622291
13,Male,2008,Other,10066.59678
13,Female,2008,Other,9499.351374
14,Male,2008,Other,10154.746
14,Female,2008,Other,9625.881807
15,Male,2008,Other,10261.89935
15,Female,2008,Other,9468.835649
16,Male,2008,Other,10227.85263
16,Female,2008,Other,9695.834769
17,Male,2008,Other,10462.28099
17,Female,2008,Other,9415.486141
0,Male,2009,Other,9243.764204
0,Female,2009,Other,8812.031914
1,Male,2009,Other,9523.375029
1,Female,2009,Other,8948.965099
2,Male,2009,Other,9546.961704
2,Female,2009,Other,9090.553764
3,Male,2009,Other,9575.080347
3,Female,2009,Other,9180.057559
4,Male,2009,Other,9595.1559
4,Female,2009,Other,9404.481501
5,Male,2009,Other,9540.737748
5,Female,2009,Other,8882.922568
6,Male,2009,Other,9107.832511
6,Female,2009,Other,8863.806172
7,Male,2009,Other,9369.634622
7,Female,2009,Other,8566.466543
8,Male,2009,Other,9044.186068
8,Female,2009,Other,8721.436143
9,Male,2009,Other,9235.870944
9,Female,2009,Other,8735.672529
10,Male,2009,Other,9275.321614
10,Female,2009,Other,8900.811295
11,Male,2009,Other,9703.540622
11,Female,2009,Other,9064.994247
12,Male,2009,Other,9773.299567
12,Female,2009,Other,9390.644229
13,Male,2009,Other,9779.850657
13,Female,2009,Other,9314.964713
14,Male,2009,Other,9800.139671
14,Female,2009,Other,9455.389506
15,Male,2009,Other,10227.14837
15,Female,2009,Other,9566.009127
16,Male,2009,Other,10573.52462
16,Female,2009,Other,9719.915466
17,Male,2009,Other,10177.47331
17,Female,2009,Other,9768.873178
0,Male,2010,Other,9243.764204
0,Female,2010,Other,8812.031914
1,Male,2010,Other,9523.375029
1,Female,2010,Other,8948.965099
2,Male,2010,Other,9546.961704
2,Female,2010,Other,9090.553764
3,Male,2010,Other,9575.080347
3,Female,2010,Other,9180.057559
4,Male,2010,Other,9595.1559
4,Female,2010,Other,9404.481501
5,Male,2010,Other,9540.737748
5,Female,2010,Other,8882.922568
6,Male,2010,Other,9107.832511
6,Female,2010,Other,8863.806172
7,Male,2010,Other,9369.634622
7,Female,2010,Other,8566.466543
8,Male,2010,Other,9044.186068
8,Female,2010,Other,8721.436143
9,Male,2010,Other,9235.870944
9,Female,2010,Other,8735.672529
10,Male,2010,Other,9275.321614
10,Female,2010,Other,8900.811295
11,Male,2010,Other,9703.540622
11,Female,2010,Other,9064.994247
12,Male,2010,Other,9773.299567
12,Female,2010,Other,9390.644229
13,Male,2010,Other,9779.850657
13,Female,2010,Other,9314.964713
14,Male,2010,Other,9800.139671
14,Female,2010,Other,9455.389506
15,Male,2010,Other,10227.14837
15,Female,2010,Other,9566.009127
16,Male,2010,Other,10573.52462
16,Female,2010,Other,9719.915466
17,Male,2010,Other,10177.47331
17,Female,2010,Other,9768.873178
0,Male,2011,Other,9243.764204
0,Female,2011,Other,8812.031914
1,Male,2011,Other,9523.375029
1,Female,2011,Other,8948.965099
2,Male,2011,Other,9546.961704
2,Female,2011,Other,9090.553764
3,Male,2011,Other,9575.080347
3,Female,2011,Other,9180.057559
4,Male,2011,Other,9595.1559
4,Female,2011,Other,9404.481501
5,Male,2011,Other,9540.737748
5,Female,2011,Other,8882.922568
6,Male,2011,Other,9107.832511
6,Female,2011,Other,8863.806172
7,Male,2011,Other,9369.634622
7,Female,2011,Other,8566.466543
8,Male,2011,Other,9044.186068
8,Female,2011,Other,8721.436143
9,Male,2011,Other,9235.870944
9,Female,2011,Other,8735.672529
10,Male,2011,Other,9275.321614
10,Female,2011,Other,8900.811295
11,Male,2011,Other,9703.540622
11,Female,2011,Other,9064.994247
12,Male,2011,Other,9773.299567
12,Female,2011,Other,9390.644229
13,Male,2011,Other,9779.850657
13,Female,2011,Other,9314.964713
14,Male,2011,Other,9800.139671
14,Female,2011,Other,9455.389506
15,Male,2011,Other,10227.14837
15,Female,2011,Other,9566.009127
16,Male,2011,Other,10573.52462
16,Female,2011,Other,9719.915466
17,Male,2011,Other,10177.47331
17,Female,2011,Other,9768.873178
0,Male,2012,Other,9243.764204
0,Female,2012,Other,8812.031914
1,Male,2012,Other,9523.375029
1,Female,2012,Other,8948.965099
2,Male,2012,Other,9546.961704
2,Female,2012,Other,9090.553764
3,Male,2012,Other,9575.080347
3,Female,2012,Other,9180.057559
4,Male,2012,Other,9595.1559
4,Female,2012,Other,9404.481501
5,Male,2012,Other,9540.737748
5,Female,2012,Other,8882.922568
6,Male,2012,Other,9107.832511
6,Female,2012,Other,8863.806172
7,Male,2012,Other,9369.634622
7,Female,2012,Other,8566.466543
8,Male,2012,Other,9044.186068
8,Female,2012,Other,8721.436143
9,Male,2012,Other,9235.870944
9,Female,2012,Other,8735.672529
10,Male,2012,Other,9275.321614
10,Female,2012,Other,8900.811295
11,Male,2012,Other,9703.540622
11,Female,2012,Other,9064.994247
12,Male,2012,Other,9773.299567
12,Female,2012,Other,9390.644229
13,Male,2012,Other,9779.850657
13,Female,2012,Other,9314.964713
14,Male,2012,Other,9800.139671
14,Female,2012,Other,9455.389506
15,Male,2012,Other,10227.14837
15,Female,2012,Other,9566.009127
16,Male,2012,Other,10573.52462
16,Female,2012,Other,9719.915466
17,Male,2012,Other,10177.47331
17,Female,2012,Other,9768.873178
0,Male,2013,Other,9243.764204
0,Female,2013,Other,8812.031914
1,Male,2013,Other,9523.375029
1,Female,2013,Other,8948.965099
2,Male,2013,Other,9546.961704
2,Female,2013,Other,9090.553764
3,Male,2013,Other,9575.080347
3,Female,2013,Other,9180.057559
4,Male,2013,Other,9595.1559
4,Female,2013,Other,9404.481501
5,Male,2013,Other,9540.737748
5,Female,2013,Other,8882.922568
6,Male,2013,Other,9107.832511
6,Female,2013,Other,8863.806172
7,Male,2013,Other,9369.634622
7,Female,2013,Other,8566.466543
8,Male,2013,Other,9044.186068
8,Female,2013,Other,8721.436143
9,Male,2013,Other,9235.870944
9,Female,2013,Other,8735.672529
10,Male,2013,Other,9275.321614
10,Female,2013,Other,8900.811295
11,Male,2013,Other,9703.540622
11,Female,2013,Other,9064.994247
12,Male,2013,Other,9773.299567
12,Female,2013,Other,9390.644229
13,Male,2013,Other,9779.850657
13,Female,2013,Other,9314.964713
14,Male,2013,Other,9800.139671
14,Female,2013,Other,9455.389506
15,Male,2013,Other,10227.14837
15,Female,2013,Other,9566.009127
16,Male,2013,Other,10573.52462
16,Female,2013,Other,9719.915466
17,Male,2013,Other,10177.47331
17,Female,2013,Other,9768.873178
0,Male,2014,Other,9174.386108
0,Female,2014,Other,8767.064172
1,Male,2014,Other,9707.633401
1,Female,2014,Other,9266.053262
2,Male,2014,Other,9931.310398
2,Female,2014,Other,9409.956116
3,Male,2014,Other,10128.84248
3,Female,2014,Other,9449.041921
4,Male,2014,Other,10284.11606
4,Female,2014,Other,9706.015363
5,Male,2014,Other,9991.055443
5,Female,2014,Other,9460.614435
6,Male,2014,Other,10346.89546
6,Female,2014,Other,9527.244234
7,Male,2014,Other,10191.57355
7,Female,2014,Other,9664.278746
8,Male,2014,Other,10134.04833
8,Female,2014,Other,9800.816993
9,Male,2014,Other,10088.38947
9,Female,2014,Other,9905.024891
10,Male,2014,Other,9907.023464
10,Female,2014,Other,9327.040813
11,Male,2014,Other,9689.846669
11,Female,2014,Other,9145.25554
12,Male,2014,Other,9722.914188
12,Female,2014,Other,9111.178005
13,Male,2014,Other,9527.099319
13,Female,2014,Other,9073.649972
14,Male,2014,Other,9677.665356
14,Female,2014,Other,9114.0034
15,Male,2014,Other,9767.037593
15,Female,2014,Other,9445.766795
16,Male,2014,Other,10179.72414
16,Female,2014,Other,9561.05878
17,Male,2014,Other,10350.54262
17,Female,2014,Other,9813.525627
0,Male,2015,Other,9174.386108
0,Female,2015,Other,8767.064172
1,Male,2015,Other,9707.633401
1,Female,2015,Other,9266.053262
2,Male,2015,Other,9931.310398
2,Female,2015,Other,9409.956116
3,Male,2015,Other,10128.84248
3,Female,2015,Other,9449.041921
4,Male,2015,Other,10284.11606
4,Female,2015,Other,9706.015363
5,Male,2015,Other,9991.055443
5,Female,2015,Other,9460.614435
6,Male,2015,Other,10346.89546
6,Female,2015,Other,9527.244234
7,Male,2015,Other,10191.57355
7,Female,2015,Other,9664.278746
8,Male,2015,Other,10134.04833
8,Female,2015,Other,9800.816993
9,Male,2015,Other,10088.38947
9,Female,2015,Other,9905.024891
10,Male,2015,Other,9907.023464
10,Female,2015,Other,9327.040813
11,Male,2015,Other,9689.846669
11,Female,2015,Other,9145.25554
12,Male,2015,Other,9722.914188
12,Female,2015,Other,9111.178005
13,Male,2015,Other,9527.099319
13,Female,2015,Other,9073.649972
14,Male,2015,Other,9677.665356
14,Female,2015,Other,9114.0034
15,Male,2015,Other,9767.037593
15,Female,2015,Other,9445.766795
16,Male,2015,Other,10179.72414
16,Female,2015,Other,9561.05878
17,Male,2015,Other,10350.54262
17,Female,2015,Other,9813.525627
0,Male,2016,Other,9174.386108
0,Female,2016,Other,8767.064172
1,Male,2016,Other,9707.633401
1,Female,2016,Other,9266.053262
2,Male,2016,Other,9931.310398
2,Female,2016,Other,9409.956116
3,Male,2016,Other,10128.84248
3,Female,2016,Other,9449.041921
4,Male,2016,Other,10284.11606
4,Female,2016,Other,9706.015363
5,Male,2016,Other,9991.055443
5,Female,2016,Other,9460.614435
6,Male,2016,Other,10346.89546
6,Female,2016,Other,9527.244234
7,Male,2016,Other,10191.57355
7,Female,2016,Other,9664.278746
8,Male,2016,Other,10134.04833
8,Female,2016,Other,9800.816993
9,Male,2016,Other,10088.38947
9,Female,2016,Other,9905.024891
10,Male,2016,Other,9907.023464
10,Female,2016,Other,9327.040813
11,Male,2016,Other,9689.846669
11,Female,2016,Other,9145.25554
12,Male,2016,Other,9722.914188
12,Female,2016,Other,9111.178005
13,Male,2016,Other,9527.099319
13,Female,2016,Other,9073.649972
14,Male,2016,Other,9677.665356
14,Female,2016,Other,9114.0034
15,Male,2016,Other,9767.037593
15,Female,2016,Other,9445.766795
16,Male,2016,Other,10179.72414
16,Female,2016,Other,9561.05878
17,Male,2016,Other,10350.54262
17,Female,2016,Other,9813.525627
0,Male,2017,Other,9174.386108
0,Female,2017,Other,8767.064172
1,Male,2017,Other,9707.633401
1,Female,2017,Other,9266.053262
2,Male,2017,Other,9931.310398
2,Female,2017,Other,9409.956116
3,Male,2017,Other,10128.84248
3,Female,2017,Other,9449.041921
4,Male,2017,Other,10284.11606
4,Female,2017,Other,9706.015363
5,Male,2017,Other,9991.055443
5,Female,2017,Other,9460.614435
6,Male,2017,Other,10346.89546
6,Female,2017,Other,9527.244234
7,Male,2017,Other,10191.57355
7,Female,2017,Other,9664.278746
8,Male,2017,Other,10134.04833
8,Female,2017,Other,9800.816993
9,Male,2017,Other,10088.38947
9,Female,2017,Other,9905.024891
10,Male,2017,Other,9907.023464
10,Female,2017,Other,9327.040813
11,Male,2017,Other,9689.846669
11,Female,2017,Other,9145.25554
12,Male,2017,Other,9722.914188
12,Female,2017,Other,9111.178005
13,Male,2017,Other,9527.099319
13,Female,2017,Other,9073.649972
14,Male,2017,Other,9677.665356
14,Female,2017,Other,9114.0034
15,Male,2017,Other,9767.037593
15,Female,2017,Other,9445.766795
16,Male,2017,Other,10179.72414
16,Female,2017,Other,9561.05878
17,Male,2017,Other,10350.54262
17,Female,2017,Other,9813.525627
0,Male,2018,Other,9174.386108
0,Female,2018,Other,8767.064172
1,Male,2018,Other,9707.633401
1,Female,2018,Other,9266.053262
2,Male,2018,Other,9931.310398
2,Female,2018,Other,9409.956116
3,Male,2018,Other,10128.84248
3,Female,2018,Other,9449.041921
4,Male,2018,Other,10284.11606
4,Female,2018,Other,9706.015363
5,Male,2018,Other,9991.055443
5,Female,2018,Other,9460.614435
6,Male,2018,Other,10346.89546
6,Female,2018,Other,9527.244234
7,Male,2018,Other,10191.57355
7,Female,2018,Other,9664.278746
8,Male,2018,Other,10134.04833
8,Female,2018,Other,9800.816993
9,Male,2018,Other,10088.38947
9,Female,2018,Other,9905.024891
10,Male,2018,Other,9907.023464
10,Female,2018,Other,9327.040813
11,Male,2018,Other,9689.846669
11,Female,2018,Other,9145.25554
12,Male,2018,Other,9722.914188
12,Female,2018,Other,9111.178005
13,Male,2018,Other,9527.099319
13,Female,2018,Other,9073.649972
14,Male,2018,Other,9677.665356
14,Female,2018,Other,9114.0034
15,Male,2018,Other,9767.037593
15,Female,2018,Other,9445.766795
16,Male,2018,Other,10179.72414
16,Female,2018,Other,9561.05878
17,Male,2018,Other,10350.54262
17,Female,2018,Other,9813.525627
0,Male,2019,Other,9174.386108
0,Female,2019,Other,8767.064172
1,Male,2019,Other,9707.633401
1,Female,2019,Other,9266.053262
2,Male,2019,Other,9931.310398
2,Female,2019,Other,9409.956116
3,Male,2019,Other,10128.84248
3,Female,2019,Other,9449.041921
4,Male,2019,Other,10284.11606
4,Female,2019,Other,9706.015363
5,Male,2019,Other,9991.055443
5,Female,2019,Other,9460.614435
6,Male,2019,Other,10346.89546
6,Female,2019,Other,9527.244234
7,Male,2019,Other,10191.57355
7,Female,2019,Other,9664.278746
8,Male,2019,Other,10134.04833
8,Female,2019,Other,9800.816993
9,Male,2019,Other,10088.38947
9,Female,2019,Other,9905.024891
10,Male,2019,Other,9907.023464
10,Female,2019,Other,9327.040813
11,Male,2019,Other,9689.846669
11,Female,2019,Other,9145.25554
12,Male,2019,Other,9722.914188
12,Female,2019,Other,9111.178005
13,Male,2019,Other,9527.099319
13,Female,2019,Other,9073.649972
14,Male,2019,Other,9677.665356
14,Female,2019,Other,9114.0034
15,Male,2019,Other,9767.037593
15,Female,2019,Other,9445.766795
16,Male,2019,Other,10179.72414
16,Female,2019,Other,9561.05878
17,Male,2019,Other,10350.54262
17,Female,2019,Other,9813.525627
0,Male,2020,Other,9174.386108
0,Female,2020,Other,8767.064172
1,Male,2020,Other,9707.633401
1,Female,2020,Other,9266.053262
2,Male,2020,Other,9931.310398
2,Female,2020,Other,9409.956116
3,Male,2020,Other,10128.84248
3,Female,2020,Other,9449.041921
4,Male,2020,Other,10284.11606
4,Female,2020,Other,9706.015363
5,Male,2020,Other,9991.055443
5,Female,2020,Other,9460.614435
6,Male,2020,Other,10346.89546
6,Female,2020,Other,9527.244234
7,Male,2020,Other,10191.57355
7,Female,2020,Other,9664.278746
8,Male,2020,Other,10134.04833
8,Female,2020,Other,9800.816993
9,Male,2020,Other,10088.38947
9,Female,2020,Other,9905.024891
10,Male,2020,Other,9907.023464
10,Female,2020,Other,9327.040813
11,Male,2020,Other,9689.846669
11,Female,2020,Other,9145.25554
12,Male,2020,Other,9722.914188
12,Female,2020,Other,9111.178005
13,Male,2020,Other,9527.099319
13,Female,2020,Other,9073.649972
14,Male,2020,Other,9677.665356
14,Female,2020,Other,9114.0034
15,Male,2020,Other,9767.037593
15,Female,2020,Other,9445.766795
16,Male,2020,Other,10179.72414
16,Female,2020,Other,9561.05878
17,Male,2020,Other,10350.54262
17,Female,2020,Other,9813.525627
0,Male,2021,Other,9174.386108
0,Female,2021,Other,8767.064172
1,Male,2021,Other,9707.633401
1,Female,2021,Other,9266.053262
2,Male,2021,Other,9931.310398
2,Female,2021,Other,9409.956116
3,Male,2021,Other,10128.84248
3,Female,2021,Other,9449.041921
4,Male,2021,Other,10284.11606
4,Female,2021,Other,9706.015363
5,Male,2021,Other,9991.055443
5,Female,2021,Other,9460.614435
6,Male,2021,Other,10346.89546
6,Female,2021,Other,9527.244234
7,Male,2021,Other,10191.57355
7,Female,2021,Other,9664.278746
8,Male,2021,Other,10134.04833
8,Female,2021,Other,9800.816993
9,Male,2021,Other,10088.38947
9,Female,2021,Other,9905.024891
10,Male,2021,Other,9907.023464
10,Female,2021,Other,9327.040813
11,Male,2021,Other,9689.846669
11,Female,2021,Other,9145.25554
12,Male,2021,Other,9722.914188
12,Female,2021,Other,9111.178005
13,Male,2021,Other,9527.099319
13,Female,2021,Other,9073.649972
14,Male,2021,Other,9677.665356
14,Female,2021,Other,9114.0034
15,Male,2021,Other,9767.037593
15,Female,2021,Other,9445.766795
16,Male,2021,Other,10179.72414
16,Female,2021,Other,9561.05878
17,Male,2021,Other,10350.54262
17,Female,2021,Other,9813.525627
